gene,count,gene_clean,query,symbol,name
ENSG00000188624.3,1,ENSG00000188624,ENSG00000188624,IGFL3,IGF like family member 3
ENSG00000133687.16,1,ENSG00000133687,ENSG00000133687,TMTC1,transmembrane O-mannosyltransferase targeting cadherins 1
ENSG00000154839.10,1,ENSG00000154839,ENSG00000154839,SKA1,spindle and kinetochore associated complex subunit 1
ENSG00000250244.5,1,ENSG00000250244,ENSG00000250244,FSTL4-AS1,FSTL4 antisense RNA 1
ENSG00000070778.13,1,ENSG00000070778,ENSG00000070778,PTPN21,protein tyrosine phosphatase non-receptor type 21
ENSG00000109846.9,1,ENSG00000109846,ENSG00000109846,CRYAB,crystallin alpha B
ENSG00000128564.7,1,ENSG00000128564,ENSG00000128564,VGF,VGF nerve growth factor inducible
ENSG00000240583.13,1,ENSG00000240583,ENSG00000240583,AQP1,aquaporin 1 (Colton blood group)
ENSG00000123096.12,1,ENSG00000123096,ENSG00000123096,SSPN,sarcospan
ENSG00000233542.2,1,ENSG00000233542,ENSG00000233542,,
ENSG00000087586.18,1,ENSG00000087586,ENSG00000087586,AURKA,aurora kinase A
ENSG00000178796.13,1,ENSG00000178796,ENSG00000178796,RIIAD1,regulatory subunit of type II PKA R-subunit domain containing 1
ENSG00000109705.8,1,ENSG00000109705,ENSG00000109705,NKX3-2,NK3 homeobox 2
ENSG00000147027.4,1,ENSG00000147027,ENSG00000147027,TMEM47,transmembrane protein 47
ENSG00000231057.4,1,ENSG00000231057,ENSG00000231057,NEK2-DT,NEK2 divergent transcript
ENSG00000197588.9,1,ENSG00000197588,ENSG00000197588,KLKP1,kallikrein pseudogene 1
ENSG00000258947.7,1,ENSG00000258947,ENSG00000258947,TUBB3,tubulin beta 3 class III
ENSG00000253931.1,1,ENSG00000253931,ENSG00000253931,,
ENSG00000157110.16,1,ENSG00000157110,ENSG00000157110,RBPMS,"RNA binding protein, mRNA processing factor"
ENSG00000152284.5,1,ENSG00000152284,ENSG00000152284,TCF7L1,transcription factor 7 like 1
ENSG00000092964.18,1,ENSG00000092964,ENSG00000092964,DPYSL2,dihydropyrimidinase like 2
ENSG00000109674.4,1,ENSG00000109674,ENSG00000109674,NEIL3,nei like DNA glycosylase 3
ENSG00000104332.12,1,ENSG00000104332,ENSG00000104332,SFRP1,secreted frizzled related protein 1
ENSG00000135046.14,1,ENSG00000135046,ENSG00000135046,ANXA1,annexin A1
ENSG00000075702.18,1,ENSG00000075702,ENSG00000075702,WDR62,WD repeat domain 62
ENSG00000111404.7,1,ENSG00000111404,ENSG00000111404,RERGL,RERG like
ENSG00000116711.10,1,ENSG00000116711,ENSG00000116711,PLA2G4A,phospholipase A2 group IVA
ENSG00000102384.13,1,ENSG00000102384,ENSG00000102384,CENPI,centromere protein I
ENSG00000167641.11,1,ENSG00000167641,ENSG00000167641,PPP1R14A,protein phosphatase 1 regulatory inhibitor subunit 14A
ENSG00000154736.6,1,ENSG00000154736,ENSG00000154736,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5
ENSG00000184500.16,1,ENSG00000184500,ENSG00000184500,PROS1,protein S
ENSG00000287566.1,1,ENSG00000287566,ENSG00000287566,LOC105376380,uncharacterized LOC105376380
ENSG00000118193.12,1,ENSG00000118193,ENSG00000118193,KIF14,kinesin family member 14
ENSG00000167619.13,1,ENSG00000167619,ENSG00000167619,TMEM145,transmembrane protein 145
ENSG00000144045.14,1,ENSG00000144045,ENSG00000144045,DQX1,DEAQ-box RNA dependent ATPase 1
ENSG00000025423.11,1,ENSG00000025423,ENSG00000025423,HSD17B6,hydroxysteroid 17-beta dehydrogenase 6
ENSG00000116014.10,1,ENSG00000116014,ENSG00000116014,KISS1R,KISS1 receptor
ENSG00000162004.18,1,ENSG00000162004,ENSG00000162004,CCDC78,coiled-coil domain containing 78
ENSG00000167191.12,1,ENSG00000167191,ENSG00000167191,GPRC5B,G protein-coupled receptor class C group 5 member B
ENSG00000275223.1,1,ENSG00000275223,ENSG00000275223,,
ENSG00000196747.4,1,ENSG00000196747,ENSG00000196747,H2AC13,H2A clustered histone 13
ENSG00000150281.7,1,ENSG00000150281,ENSG00000150281,CTF1,cardiotrophin 1
ENSG00000183682.8,1,ENSG00000183682,ENSG00000183682,BMP8A,bone morphogenetic protein 8a
